poeta poète
sal sel
pérdida perte
intervenir intervenir
elegir élire
castelló castellón
intérlope interlope
cibercriminalidad cybercriminalité
fuente source
temible redoutable
como côme
amateur amateur
echeverría echeverría
doctor docteur
menudo menu
deneuve deneuve
creciente grandissant
murcia murcia
lago lac
anzizar anzizar
desencadenar déchaîner
desmesurado démesuré
ausente absent
cual comme
extremadura estrémadure
arteta arteta
suspense suspense
alameda peupleraie
célula cellule
stern stern
antidemócrata antidémocrate
aikman aikman
cuarto chambre
desvío détournement
asentar établir
banderas banderas
játiva játiva
eje essieu
cnrs cnrs
na-129 na-129
tapie tapie
rinoplastia rhinoplastie
arbizolea arbizolea
marte mars
simultáneamente simultanément
werner werner
yus yus
gema gema
pala pelle
allman allman
aguerrido aguerri
pirineo pyrénées
evitar éviter
temor crainte
laiseka laiseka
interrogante question
bolivia bolivie
csc csc
continuidad continuité
stan stan
lemonde lemonde
patrick patrick
confort confort
torbellino tourbillon
yayo yayo
extravío perte
teknalia teknalia
proyecto projet
aversión animosité
secularización sécularisation
segregar séparer
palaos palaos
este est
faceta facette
biomedicina biomédecine
corona couronne
lupa loupe
titín titín
distanciar distancer
colón colón
adulterio adultère
leña bois
gato chat
tardagila tardagila
imprecisión imprécision
douarnenez douarnenez
enderezar redresser
frasco flacon
machin machin
suficiente suffisant
asterix astérix
vender vendre
enunciación énonciation
pep pep
robledo robledo
llave clé
siluriano silurien
monótono monotone
talabardon talabardon
grasa graisse
sena seine
saturación saturation
guillena guillena
cuerpo corps
masificación massification
trainera chalutier
anari anari
juvenil juvénile
idea idée
comprar acheter
cercano proche
colectivo collectif
decir dire
orleanesado orléanais
amutxastegi amutxastegi
pequeño petit
canónico canonique
fotogalería photo-galerie
mitología mythologie
amparo protection
perímetro périmètre
financiero financier
nefertari néfertari
vatio watt
rasgo trait
jason jason
recapitalización recapitalisation
pretendiente prétendant
progresar progresser
reincorporar réincorporer
comando comando
antidemocrático antidémocratique
abs abs
tschopp tschopp
formalidad formalité
amilivia amilivia
rapidez rapidité
recreación récréation
escolar scolaire
limousin limousin
tanganica tanganyika
revólver revolver
premonición prémonition
enel enel
clint clint
roca roche
agra agra
ribéry ribéry
xx xx
narrar narrer
akkar akkar
chernenko tchernenko
bruguière bruguière
fundir fondre
aché aché
ibrahim ibrahim
beaskoetxea beaskoetxea
miles milliers
religión religion
goikoetxea goikoetxea
ultraje outrage
renta rente
aitan aitan
anquilosar ankyloser
examen examen
perseguir pourchasser
hércules hercule
moderar modérer
ambulatorio dispensaire
roscoff roscoff
regresar rentrer
lícito licite
commienzo démarrage
stones stones
kuribayashi kuribayashi
pello pello
fascinar fasciner
envidiar envier
iberinco iberinco
manga manche
actividad activité
air air
ubicar situer
manhattan manhattan
amane amane
rol rôle
acrobat acrobat
inmediato immédiat
richelieu richelieu
manual manuel
capitalización capitalisation
damasco damas
impresión impression
lástima dommage
desagradable maussade
romper rompre
presidenciabilidad présidentiabilité
relativamente relativement
agroalimentario agro-alimentaire
caliente chaud
marianne marianne
grasa gras
fraudulento frauduleux
verde vert
raffaele raffaele
intruso intrus
bayard bayard
afrontar affronter
luchar bagarrer
abando abando
lina lina
antojo envie
maguncia mayence
consensual consensuel
clásico classique
bourg-en-bresse bourg-en-bresse
gigantesco gigantesque
caja boîte
andar cheminer
conocer connaître
abrams abrams
excepcionalmente exceptionnellement
protección protection
bittor bittor
aleix aleix
magnitud grandeur
indicio indice
devenir devenir
fundamental fondamental
burguete burguete
prisa hâte
vasseur vasseur
massa massa
agritubel agritubel
sensorial sensoriel
invocación invocation
apostólico apostolique
heroico héroïque
iruñea pampelune
barnizador vernisseur
hamas hamas
sectarismo sectarisme
subrogar subroger
pie pied
gerokon gerokon
andén quai
anguila anguilla
labrit labrit
film film
adicto intoxiqué
exigencia exigence
calidad qualité
adelino adelino
secretaría secrétariat
elie elie
pícaro coquin
desgraciado malheureux
anticipo avance
fidelización fidélisation
máquina machine
tarragona tarragone
malo mauvais
rito rite
rodolphe rodolphe
aida aida
ocurrir arriver
manuscrito manuscrit
bengala fusée
bukovina bucovine
ocupar occuper
protestar protester
theo theo
rémy rémy
puramente purement
danzar danser
murgoitio murgoitio
atolón atoll
fabius fabius
nairobi nairobi
tormo tormo
palestina palestine
estancia séjour
difusión diffusion
alexandre alexandre
exquisitamente exquisément
bayrou bayrou
intención intention
ustacha oustacha
diáspora diaspora
islámico islamique
deauville deauville
elche elche
inteligencia intelligence
solicitar solliciter
arditurri arditurri
slater slater
absoluto absolu
decoración décor
somalí somalien
nuestro notre
sensación sensation
alfabeto alphabet
giuseppe giuseppe
muñoz muñoz
gravedad gravité
hoyo hoyo
corsa corsa
expósito expósito
rouen rouen
sarcasmo sarcasme
clasificación classement
canal canal
estiria styrie
parrilla gril
contacto contact
sonoro sonore
ibarra ibarra
asociativo associatif
asedio siège
sinfónico symphonique
thyssenkrupp thyssenkrupp
barba barbe
mundaka mundaka
aquel ce
andreu andreu
parecer sembler
colonización colonisation
inmóvil immobile
número nombre
vila vila
cartel affiche
hoyo trou
emmanuelle emmanuelle
zarauz zarauz
burgelin burgelin
deliberadamente délibérément
munición munition
gorka gorka
ane ane
cd cd
transversalidad transversalité
martias martias
multilingüe multilingue
cardenal cardinal
plátano platane
cuota frais
halgand halgand
activamente activement
oxigenación oxygénation
decremento décrément
arias arias
sumisión soumission
precedente précédent
alumno élève
bit bit
reembolsar rembourser
suyo leur
renshaw renshaw
posterior postérieur
conquista conquête
equipo équipement
cara gueule
prostituta prostituée
canovas canovas
ruta route
amigable amical
transparente transparent
mohamed mohamed
rc rc
alastruey alastruey
manuela manuela
aquel ce
adelaïde adelaïde
loco fou
aitza aitza
firma signature
antisocial antisocial
caracterizar typer
islamabad islamabad
xxi xxième
odesa odessa
serinor serinor
proletario prolétaire
historia histoire
relleno farce
bodega cave
quimper quimper
jamón jambon
petrikorena petrikorena
formalmente formellement
cornellá cornellà
almandoz almandoz
vitalidad vitalité
balanza balance
inglés anglais
extradición extradition
espera attente
morfológico morphologique
desordenar désordonner
armónica harmonica
somalilandia somaliland
mireille mireille
javier javier
hergé hergé
factible faisable
suplementario supplémentaire
patrice patrice
carcedo carcedo
paddy paddy
magistralmente magistralement
acebes acebes
ingle aine
paul paul
sacha sacha
informativo informatif
carolyn carolyn
vertiente versant
competición competition
localmente localement
filiación filiation
irun irun
pagar appointer
everest everest
asta hampe
alacant alicante
trece treize
aasheim aasheim
confidencia confidence
etxegarate etxegarate
anquetil anquetil
haber avoir
pixel pixel
feria foire
lotería loterie
disfrute plaisir
monrovia monrovia
perversión perversion
francesc francesc
etruria étrurie
sedentariedad sédentarité
adeje adeje
furor fureur
cuadragésimo quarantième
alfie alfie
prevenir prévenir
lérida lleida
l l
mejorar améliorer
alsacia alsace
fia fia
dibujo dessin
contrariedad contrariété
recuperar récupérer
lennon lennon
programar programmer
acalorado échauffé
menor moindre
pauta règle
lección leçon
diagnóstico diagnostic
clínico clinique
telefónico théléphonique
eliminatoria éliminatoire
schengen schengen
aventajado remarquable
terrassa terrassa
virtuosismo virtuosité
cirujano chirurgien
ehoud ehoud
kabul kaboul
propósito propos
autónomo autonome
gaztañaga gaztañaga
narváez narváez
llave clef
despiste étourderie
salva salva
detestable détestable
muselina mousseline
involuntariamente involontairement
aparente apparent
arandia arandia
helguera helguera
tablado estrade
ninguno nul
anfitrión amphitryon
dispensar dispenser
pho pho
bestialidad bestialité
biblia bible
accésit accessit
bach bach
escasear manquer
numidia numidie
audiencia audience
celestino celestino
horda horde
alumbrado éclairage
frecuente fréquent
humbert humbert
berlanga berlanga
altdorf altdorf
mensualidad mensualité
yacimiento gisement
disipación dissipation
hombre homme
cercanía proximité
beethoven beethoven
columbia columbia
variabilidad variabilité
coreografía chorégraphie
bonificado bonifié
alejandría alexandrie
kilogramo kilogramme
usabilidad utilisabilité
urkabal urkabal
placer plaisir
cerámica céramique
fan fan
anduela anduela
desvelar dévoiler
wong wong
ardouin ardouin
economía économie
racionar rationner
feminización féminisation
azurmendi azurmendi
maqueta maquette
mali mali
centauro centaure
presentador montreur
religiosidad religiosité
antirradar antiradar
intercepción interception
participación participation
disciplinario disciplinaire
cubano cubain
aplazar ajourner
descendencia descendance
andreev andreev
exposición exposition
recordatorio rappel
asociar associer
arricau arricau
mártir martyr
facultar autoriser
expoliación spoliation
elkarri elkarri
rufino rufino
signatario signataire
sesma sesma
dicaprio dicaprio
guinda cerise
complejo complexe
nanclares nanclares
o ou
ascendiente ascendant
sujeción assujettissement
kutxazabal kutxazabal
inicializar initialiser
pedrosa pedrosa
película film
xabi xabi
impaciencia impatience
tener avoir
accor accor
emprosal emprosal
responsabilidad responsabilité
patrimonio patrimoine
nº nº
concluyente concluant
abubo abubo
ue ue
decorar décorer
yunque enclume
conclusión constat
sentimental sentimental
ayllón ayllón
url url
abono payement
rtve rtve
definición définition
sobreexplotación surexploitation
encriptación cryptage
novio fiancé
kalifornia kalifornia
granito granite
gilbert gilbert
jarag jarag
arena sable
triplicado triplicata
doble double
alba aube
acnur acnur
liq liq
perezoso paresseux
profesorado professorat
tropical tropical
repercutir retentir
corredor courtier
goleman goleman
remoto lointain
wiktionnaire wiktionnaire
tratado traité
planificar planifier
liderar diriger
kayak kayak
poblar peupler
poseridad postérité
centenar centaine
anjel anjel
rebeldía rébellion
fundador fondateur
baltimore baltimore
ligar lier
ratisbona ratisbonne
planeamiento organisation
sdv sdv
rianxeira rianxeira
abf abf
carcelario carcéral
aritz aritz
lsw lsw
abandono abandon
casco coque
epicuro épicure
airosamente élégamment
coromina coromina
moral morale
universalidad universalité
ségo ségo
estudio étude
heras heras
huerto verger
proteína protéine
rehabilitar réhabiliter
copar accaparer
koltès koltès
amonestar chapitrer
gadames ghadamès
wikipedia wikipédia
juzgado tribunal
araña araignée
unilateralmente unilatéralement
urgente urgent
lino lin
reminiscencia réminiscence
cruz cruz
argumentación argumentation
claramente clairement
agasajo prévenance
laborioso laborieux
finlandés finlandais
fluidez fluidité
lujoso luxueux
bravo bravo
colateral collatéral
imagen image
hondo profond
sarthe sarthe
benetton benetton
al-zawahiri al-zawahiri
conectar relier
normal normal
veteranía expérience
moroni moroni
margen berge
puntero meilleur
alimentar alimenter
emocionar émouvoir
ingresar encaisser
aiboa aiboa
trimestralmente trimestriellement
trasplante greffe
extraviar égarer
útil utile
perjudicar léser
aptitud aptitude
thibault thibault
fiji fidji
asamblea assemblée
excl excellence
terminal terminal
consuelo consuelo
difamación diffamation
afar afar
jesus jesus
auténticamente authentiquement
metabolito métabolite
logroño logroño
amadou amadou
monopolio monopole
salida issue
revisar réviser
mensaje message
garra griffe
ingreso revenu
jueves jeudi
gutarra gutarra
rivera rivera
youtube youtube
camarga camargue
malversación malversation
3ma 3ma
elegible éligible
agamenón agamemnon
zorrilla zorrilla
filmar filmer
acribillar cribler
altuna altuna
abulala abulala
vaporización vaporisation
interactivo interactif
mirentxu mirentxu
parroquia paroisse
bishkek bichkek
ourense ourense
oyente auditeur
acta acte
enterrar terrer
béisbol base-ball
álvaro álvaro
cajero caissier
descomposición décomposition
josu josu
igorre igorre
accesorio accessoire
imperfecto imparfait
tanto tant
convección convection
inaplicabilidad inapplicabilité
aia aia
habitar habiter
harina farine
predispuesto prédisposé
artista artiste
morella morella
defecto défaut
shore shore
simpatía sympathie
show show
cavidad cavité
estómago estomac
familiaridad familiarité
evergreen evergreen
vulgar vulgaire
abuya abuja
coto clos
laso laso
tontxu tontxu
absa absa
polivalente polyvalent
biológico bio
brent brent
matxin matxin
tara tare
anticuario antiquaire
soñar songer
desdichado malheureux
israelí israélien
rafa rafa
subtil subtil
john john
altzelai altzelai
frank frank
azar aléa
aramendia aramendia
minoritario minoritaire
extensión étendue
abad abad
costumbre habitude
adjudicación adjudication
valira valira
lancet lancet
área aire
retransmitir retransmettre
prepotencia prépotence
indispensable indispensable
pronunciación prononciation
prórroga sursis
tintoretto tintoret
meteorología météorologie
tarea tâche
pietro pietro
marino marin
detective détective
sergueï sergueï
córcega corse
universidad université
aranzubia aranzubia
cortejo cortège
número numéro
normalizado normalisé
gamba crevette
gregorio gregorio
amarika amarika
budapest budapest
chocar choquer
cotización cours
undécimo onzième
acústica acoustique
consumar consumer
dax dax
mudanza revirement
compilador compilateur
ève ève
sobresaliente excellent
definitivo définitif
raval raval
especialmente spécialement
essery essery
comité comité
quebequés québécois
repulsa rejet
corm corm
intercambio échange
arantzategi arantzategi
carmelo carmelo
genialidad originalité
vial routier
dodecaneso dodécanèse
exactitud exactitude
razonar raisonner
dosificación dosage
boimare boimare
eta eta
alboka alboka
johannesburgo johannesburg
dormir endormir
protocolario protocolaire
cuantitativo quantitatif
polémica polémique
olmedo olmedo
antawn antawn
puntualmente ponctuellement
estela sillage
motocultor motoculteur
qué quel
costo coût
segundo deuxième
semblante apparence
nominado nominé
escritura écriture
bnp bnp
oriental oriental
ee ee
krauss krauss
anzaran anzaran
tesalónica thessalonique
residencial résidentiel
bastidor châssis
belcebú belzébuth
guía guide
hinault hinault
facultativo facultatif
vulcano vulcain
torrevella torrevieja
xoxe xoxe
annette annette
trintxerpe trintxerpe
depresión dépression
espinosa espinosa
aviso avis
fdj fdj
louis-dreyfus louis-dreyfus
pac pac
mundial mondial
barsa barça
aquiescencia acquiescement
armand armand
edf edf
ingenuo naïf
anduva anduva
aldai aldai
revuelo confusion
wilson wilson
jefatura préfecture
significativamente significativement
glasgow glasgow
saint-malo saint-malo
pertinente pertinent
portal portail
desaprobación désapprobation
excarcelación désincarcération
londinense londonien
macizo massif
apocalipsis apocalypse
barakaldo barakaldo
klein klein
posteriormente postérieurement
melilla melilla
bergaretxe bergaretxe
patricia patricia
objetivamente objectivement
dreamliner dreamliner
valorar estimer
máscara masque
arar ouvrer
nocedal nocedal
urtzi urtzi
exento exempt
puntuación ponctuation
uzbekistán ouzbékistan
porno porno
golosina gourmandise
alcista haussier
valérie valérie
redecorar redécorer
gstaad gstaad
adaptar adapter
chocolate chocolat
nota note
hernández hernández
quiebra banqueroute
torcido tortu
imperativo impératif
hemoglobina hémoglobine
anticorrupción anticorruption
cofrents cofrentes
adolphe adolphe
eric eric
bar-le-duc bar-le-duc
monedero porte-monnaie
texto texte
preservativo préservatif
firma firme
isabel isabel
civera civera
schultz schultz
portugués portugais
longitud longitude
condado comté
solemne solennel
camiseta chemisette
zientzia zientzia
arrendatario locataire
sexagésimo soixantième
villaverde villaverde
teletexto télétexte
donostia saint-sébastien
innovador innovateur
combate combat
inflamable inflammable
amistad amitié
sostenimiento soutènement
sospechoso suspect
transformar transformer
gabriela gabriela
allegar réunir
fascista fasciste
coimbra coïmbre
ameijeiras ameijeiras
desgaste usure
moriarti moriarti
calentar chauffer
artificialmente artificiellement
evacuación évacuation
tramitación démarche
taskent tachkent
agrigento agrigente
demócrata démocrate
xix xix
fideliza fideliza
uau uau
cartero facteur
puntualidad ponctualité
interiorizar intérioriser
jardinero jardinier
escandaloso criant
modelización modélisation
cristalero gobeletier
gerhard gerhard
plenitud plénitude
lena lena
alcázar alcazar
apellido lignée
alexssandra alexssandra
bartolone bartolone
idiota idiot
marzio marzio
académico académique
nature nature
conforme conforme
marihuana marijuana
zumaran zumaran
honradez honnêteté
uv uv
luego ensuite
vestir affubler
almacenamiento emmagasinage
angustia angoisse
bunny bunny
aquel ce
prehistoria préhistoire
melbourne melbourne
gurruchaga gurruchaga
impresionante impressionnant
ingenio ingéniosité
ifigenia iphigénie
inoportuno inopportun
recusación récusation
donante donneur
imputable imputable
súbito subit
optimización optimisation
nafarroa navarre
acometida assaillie
encarcelamiento incarcération
tobillo cheville
empobrecer appauvrir
habitualmente habituellement
matthew matthew
querer vouloir
abellán abellán
homólogo homologue
yannick yannick
barcelonés barcelonais
adam adam
buen bon
dentro dedans
irritar irriter
dumont dumont
addameer addameer
camarero garçon
memorial mémorial
verdugo bourreau
mausoleo mausolée
vituperación vitupération
liberalismo libéralisme
unión union
armstrong armstrong
alessio alessio
deprisa rapidement
negociador négociateur
síntesis synthèse
anoia anoia
psicotrópico psychotrope
aparecer paraître
escalar grimper
mayotte mayotte
ss ss
servimática servimática
cristóbal cristóbal
singles singles
etxeberria etxeberria
outón outón
karpets karpets
guadalupe guadalupe
abel abel
joel joel
arranque arraché
estructurar structurer
sanyo sanyo
gorro bonnet
rescate rachat
correctamente correctement
libertinaje libertinage
weitz weitz
autoevaluación autoévaluation
segregación ségrégation
garrigós garrigós
decoración décoration
acuerdo accord
asesoramiento conseil
uña ongle
racionalización rationalisation
candidato candidat
fabricar fabriquer
electrocución électrocution
girona gérone
sascha sascha
anticipación anticipation
transportista transporteur
biriatu biriatou
antena antenne
bromear rigoler
maquinación machination
efectivo effectif
rosendo rosendo
arizona arizona
calibrar jauger
ortodoxia orthodoxie
mental mental
oskitz oskitz
aiguillon aiguillon
albatera albatera
mensajero messager
explosivo explosif
gernika-lumo gernika-lumo
cavar terrasser
aner aner
alban alban
febrero février
davos davos
utopía utopie
desfallecer défaillir
celo zèle
satse satse
jessica jessica
intranet intranet
evaluar évaluer
regar arroser
delegado délégué
federación fédération
verdadero vrai
otorgamiento concession
alcobaça alcobaça
agudizar accentuer
jano janus
doping doping
adaptación adaptation
espiritual spirituel
solicitud sollicitude
adria adria
oveja mouton
elorrio elorrio
nación nation
pesimista pessimiste
pelea bagarre
agobio accablement
retratar portraiturer
saint-geours saint-geours
desnivelación dénivellation
arguedas arguedas
berastegi berastegi
ordenado ordonné
lituania lituanie
aqaba aqaba
proporcional proportionnel
isère isère
sinergia synergie
villar villar
prerrogativa prérogative
inmovilizar immobiliser
parisiense parisien
reo inculpé
aproximación approximation
hacer faire
aurore aurore
roissy roissy
elba elbe
mesa table
quirúrgico chirurgical
estropear abîmer
marcel marcel
todo tout
vii vii
medicalización médicalisation
fotocopiadora photocopieuse
jamaica jamaïque
anécdota anecdote
reproductor reproducteur
cartier cartier
electoral électoral
agrícola agricole
hungría hongrie
meca mecque
maquiavelo machiavel
castries castries
inmigración immigration
argemi argemi
abou abou
scarponi scarponi
mío mon
albasini albasini
abductor abducteur
camión camion
establo étable
iraní iranien
ratón souris
n'djamena n'djamena
sistematización systématisation
amán amman
irresponsabilidad irresponsabilité
conceder allouer
soterrado souterrain
preparador entraîneur
amoedo amoedo
tímidamente timidement
kingman kingman
horizontal horizontale
borgoña bourgogne
perforación forage
herodes hérode
castro castro
elisa elisa
magisterio enseignement
ahorcar pendre
pluriactividad pluriactivité
seguro sûr
esquí ski
alemán alemán
memoria mémoire
omán oman
comprensión compréhension
antzuola antzuola
bordear border
final final
surgir surgir
farsante simulateur
rectificación rectification
renault renault
artea artea
discutible contestable
dolors dolors
interoperabilidad interopérabilité
reconstrucción reconstruction
arcén accotement
nuestro notre
anatómico anatomique
mongolia mongolie
manteca graisse
azkoitia azkoitia
matutino matinal
palmira palmyre
tomate tomate
cardiología cardiologie
onu onu
compromiso engagement
cárdenas cárdenas
agigantado gigantesque
dvd dvd
coste coût
sosegar calmer
sacrificio sacrifice
avivar attiser
dificultad difficulté
shangai shanghai
jose jose
sustantivo substantif
viernes vendredi
casualmente fortuitement
alaui alaoui
banda bande
nelson nelson
tubo tuyau
maillot maillot
adur adour
enmascarar masquer
cuidado soin
manchego manchego
mojar mouiller
orina urine
reiterado réitéré
porción portion
secundario secondaire
luxor louksor
político politique
khaled khaled
demandar poursuivre
vértigo vertige
todo tout
herir blesser
interminable interminable
reemplazar remplacer
castigar punir
chupinazo chupinazo
horno four
elustondo elustondo
periodístico journalistique
hollar fouler
granada grenade
suyo son
meditar méditer
ambros ambros
eroski eroski
pértiga perche
urendez urendez
territorio territoire
castellón castellón
trilingüe trilingue
universo univers
jueza juge
dragón dragon
recortar rogner
incoherencia incohérence
arejita arejita
halago flatterie
agricultura agriculture
rossell rossell
costa côte
amenábar amenábar
periodo période
legrand legrand
genial superbe
a350 a350
simon simon
olimpiada olympiade
resultado résultat
sobrina nièce
santo saint
toulouse toulouse
suavizar radoucir
dopaje dopage
eliminar éliminer
importar importer
arbolitos arbolitos
antillano antillais
culpabilización culpabilisation
introducir introduire
corteza couche
precipicio précipice
generalista généraliste
perianes perianes
etc etc
agente agent
prestador prêteur
abdenbi abdenbi
hosni hosni
anantnag anantnag
áfrica afrique
montiel montiel
aperribay aperribay
urcabal urcabal
goloso gourmand
aldaya aldaya
extraer prélever
brest brest
chubasco averse
paciente patient
don monsieur
xunqueiriña xunqueiriña
actuar jouer
chuleta côtelette
pintura peinture
paternidad paternité
mila mila
vivo vif
tejero tejero
passo passo
vaucluse vaucluse
posicionar positionner
orden mandat
heredero héritier
novedad nouveauté
arévalo arévalo
ppi ppi
so sous
descenso descente
zanahoria carotte
andalucía andalousie
bien bien
transportar transporter
amonestar admonester
gabriel gabriel
paciencia patience
cicladas cyclades
boomerang boomerang
compiègne compiègne
aniversario anniversaire
chevènement chevènement
hezbollah hezbollah
iturriaga iturriaga
olivina olivina
ciprés cyprès
insuficientemente insuffisamment
gaudí gaudí
londinense londonien
naranja orange
podcast podcast
aceleración accélération
negar nier
jersey jersey
actuarial actuariel
gatz gatz
dique digue
hoymotor hoymotor
ahorro épargne
motivación motivation
derrape dérapage
saturar saturer
escombro gravats
repetición répétition
tercio tiers
invariable invariable
sugerir suggérer
vinil vinyle
ratio ratio
pescado poisson
consecutivo consécutif
nuestro notre
banalización banalisation
bruscamente brusquement
stangelj stangelj
competitivo concurrentiel
magie magie
vertiginoso vertigineux
manrique manrique
rodriguez rodriguez
garantizar garantir
renault-nissan renault-nissan
salgado salgado
taylor taylor
quemar brûler
lógica logique
antiguo ancien
nouvelle-calédonie nouvelle-calédonie
fijación fixation
recriminación récrimination
orientar axer
pedagogo pédagogue
oscar oscar
comparativo comparatif
medieval médiéval
elía elía
cantidad quantité
vinculante obligatoire
lvmh lvmh
nubia nubie
menú menu
figueroa figueroa
muravyev muravyev
informático informaticien
urzúa urzúa
tren train
nagorno-karabaj nagorno-karabagh
rita rita
charlotte charlotte
compartimento compartiment
implantar implanter
logan logan
santuario sanctuaire
espalda dos
incauto imprudent
garzón garzón
duval duval
sagunto sagunto
impunidad impunité
monolingüe monolingue
científico scientifique
munduate munduate
consola console
domesticar domestiquer
andre andre
muga borne
cissé cissé
milena milena
zalgiris zalgiris
ración ration
vanotti vanotti
oviedo oviedo
tormenta tempête
interrelación relation
brillantemente brillamment
penetración pénétration
litigio litige
antropoide anthropoïde
reporting reporting
sestao sestao
listado listage
quart quart
adinerado riche
insulto insulte
máster master
adecuadamente adéquatement
abbio abbio
repower repower
puzzle puzzle
amoldar adopter
continuo continu
coraje courage
campos campos
tacto toucher
izagirre izagirre
tonicidad tonicité
anboto anboto
pelo poil
vaqueros jeans
micerinos mykerinus
zoroastro zoroastre
picar hacher
descodificación décryptage
incomunicación incommunicabilité
kutxaempresas kutxaempresas
llama flamme
bibliográfico bibliographique
guingamp guingamp
subtítulo sous-titre
suerte sort
anihilación annihilation
evidente évident
negación négation
viga poutre
libreta livret
exclusión exclusion
antiviolencia antiviolence
indiscreción indiscrétion
preludio prélude
secuestro séquestration
cúbico cubique
alma âme
amorós amorós
gallego galicien
holocausto holocauste
lamentar regretter
rin rhin
enriquecimiento enrichissement
fassa fassa
noruego norvégien
nefertiti néfertiti
aitzpea aitzpea
paz paix
sobrepopulación surpopulation
subscribir souscrire
correlación corrélation
saneamiento assainissement
desenfrenado déchaîné
lévy lévy
generacional générationnel
ochenta quatre-vingt
participio participe
portada couverture
mistral mistral
upn upn
organizador organisateur
ziarreta ziarreta
marrakech marrakech
exactitud justesse
capitulación capitulation
prueba épreuve
evolucionar évoluer
andreas andreas
lafont lafont
casero propriétaire
ordóñez ordóñez
cecilia cecilia
pujol pujol
dusko dusko
sabio savant
estímulo stimulation
proporcionar fournir
engañoso trompeur
explotar exploser
balaton balaton
criatura créature
requerimiento demande
damocles damoclès
similaridad similarité
noticia nouvelle
off off
abia abia
michigan michigan
agridulce aigre-doux
ciclista cycliste
reglamentación réglementation
eresbil eresbil
anotador annotateur
favorecedor favorable
desequilibrar déséquilibrer
atascar boucher
tremendo terrible
sabino sabino
salvar sauver
fauna faune
tremendamente terriblement
anagrama anagramme
mabel mabel
judo judo
insostenible intenable
intuir pressentir
imposición dépôt
reticente réticent
graduación graduation
estrechamente étroitement
adentrar enfoncer
analía analía
naturalia naturalia
esteve esteve
trigo froment
limosna aumône
ls80 ls80
cohen cohen
aid aid
cena dîner
departamento département
torrente torrent
anton anton
son son
coma coma
trajano trajan
berlusconi berlusconi
d'alema d'alema
banal banal
gamarra gamarra
cultivar cultiver
divorciado divorcé
disertación dissertation
asambleario parlementaire
notoriamente notoirement
apple apple
bolton bolton
defensa défense
vasco basque
sellal sellal
conservador conservateur
rumor rumeur
sexual sexuel
escoger choisir
retocar retoucher
redacción rédaction
hervidero déchaînement
gessa gessa
gustov gustov
website site
íntegramente intégralement
xiv xivème
desmantelar démanteler
presunto présumé
punto maille
minneapolis minneapolis
machista machiste
selva forêt
solynova solynova
austin austin
iowa iowa
aficionado passionné
discapacitado handicapé
entierro enterrement
brandemburgo brandenbourg
mozart mozart
estricto strict
inicialmente initialement
milá milá
marie-georges marie-georges
mirada regard
distraer distraire
nadie aucun
dynasol dynasol
oír écouter
ordenar ordonner
franquear franchir
xii xiième
inversor investisseur
imbot imbot
bristol bristol
chipre chypre
palco halle
inquietar inquiéter
mutiloa mutiloa
tanda série
adverbio adverbe
mecklemburgo mecklenbourg
bringas bringas
nuera belle-fille
euskadirratia euskadirratia
intensificación intensification
anormalidad anormalité
comandita commandite
secreto secret
malawi malawi
galería galerie
orbaiz orbaiz
almanzor al-mansour
implantación implantation
antorcha torche
quebequés québécois
corominas corominas
autogobierno self-government
ilegalmente illégalement
angustioso angoissant
reincidente récidiviste
chen chen
edward edward
lírico lyrique
debussy debussy
apurar épuiser
suscitar susciter
bsch bsch
bruseghin bruseghin
influencia influence
tutelar protéger
apreciar apprécier
amonestación admonestation
roa roa
agachar baisser
barqueta barqueta
tintar teindre
ceilán ceylan
entronización intronisation
inquina haine
sócrates socrate
otorrinolaringología otorrinolaryngologie
fisco fisc
oiartzun oiartzun
calentar échauffer
departamental départemental
doñana doñana
alivio soulagement
sorprendido surpris
línea ligne
jamaicano jamaïcain
admisible admissible
desastre désastre
categóricamente catégoriquement
alhucemas alhucemas
tfno tél
anticanceroso anticancéreux
alide alide
stéphane stéphane
xi xi
ratzinger ratzinger
saldo solde
infiltración infiltration
garrotxa garrotxa
coliseo colisée
giorgio giorgio
brutalidad brutalité
favor faveur
metro métro
adorni adorni
designación désignation
justificante justificatif
zaire zaïre
sanear assainir
aporrear cogner
hija fille
pierluigi pierluigi
terrible terrible
efracción effraction
atar attacher
goioaga goioaga
cooperación partenariat
internacionalización internationalisation
llenado remplissage
besaide besaide
compilar compiler
lateral latéral
mauresmo mauresmo
menorca minorque
kirchner kirchner
acuartelar caserner
descontento mécontentement
controlar contrôler
acostumbrar accoutumer
retrasar attarder
primicia primeur
sáez sáez
genocidio génocide
correa courroie
mordovia mordovie
pepita pépite
gritar héler
plinio pline
hijo fils
labio lèvre
portuario portuaire
tele télé
rumano roumain
deporte sport
agurne agurne
balboa balboa
semáforo sémaphore
verbalmente verbalement
reagrupamiento regroupement
dedicación dévouement
arrepentimiento regret
electrón électron
carlo carlo
blasco blasco
gritar crier
posibilidad possibilité
troya troie
polaris polaris
principio principe
privas privas
fardo paquet
claramente nettement
uniforme uniforme
dili dili
carcasona carcassonne
arcipreste archiprêtre
alte alte
bourges bourges
muñiz muñiz
pelotón peloton
pasajero passager
diploma brevet
pensar penser
apropiar approprier
referendo référendum
estrategia stratégie
accidente accident
recoger ramasser
patronato patronat
juerga bringue
aterrizar atterrir
dotación dotation
taxi taxi
